misspelled,correct
omnivorously,omniverously
mining,minning
zenith,zeenith
commander,comander
embrace,emprace
commanded,commaunded
inquire,inquir
media,midia
transcribing,transcripting
inquiry,inquirey
document,doccument
noble,nobel
pedantic,pendantic
centuries,centruies
arctic,artic
respected,respectered
despatched,dispatched
lots_of,looks
swallow,swollow
mentally,mentaley
theater,theather
Jane's,Janes
agreeing,agreing
alleviate,alliviate
charged,change
You're,Your
speed,spead
death,deat
geographically,goegraphicaly
improvement,improvment
trestle,tresle
verse,verce
struck,struk
propped,poped
Nuremberg,Nuremburg
spectacular,spectauclar
usefully,usefuly
earnest,ernest
listening,lsning
using,useing*2
fortune,fourtune
heightened,hieghtened
beechwood,beech_wood
miracle,miricle
fully,fuly
ceremonial,cerimonial
apartments,appartments
servile,cervial
rehearsing,rehersing
hemorrhage,hemorrage
Mary,Marry*4
backchatting,back_chating
deficit,deficite
forks,forker
director,directer
sixth,six
equivalent,equivelant
grown_up,grown-up
sixty,sixtey
assassin,assasin
processor,procesor
stratagem,strategem
dextro,detro
involvement,involvment
forwarded,fowarded
prepare,prepair*2
table-tennis,table_tennis
Dracula's,draculla's
groan,grown
delayed,delaid
cottage,cotage
irreversible,irreversable
corduroy,corderoy
outskirts,outscirts
hire,higher
bucket,buket
beliefs,belives
scanned,scaned
trace,trase
sheath,sheat
credibility,credetability
housework,housee_work
houseboat,house_boat*2
gaining,ganing
carpenter,carpentar
track,trak
registry,registery
suited,suted
torches,toches
tendencies,tendancies
pool,pole
connotations,cannotations
untidy,untiede
moonlight,monlight
cores,corres*3
exhibitions,exibitions
pointing,pooting
gown,grown
maypole,may_pole
thoughtful,thought_full
carpet,carpit
clubbed,clubed
heaven,heven
mild,miled
circuit,ciricuit
ogling,oging
study,studdy
throbbing,throbing
cookies,cookes
in_case,incase*2
fence,fance
colossal,collosal*2
canonical,cannonical
emotions,emotion
apologized,appologised
proselytizing,proseletyzing
selective,seleactive
strong,strog
arena,areana
losses,lesses
creepy,crepy
soldier,solger
advertising,advertiseing
criticises,critisizes
Joan,Jone
desiccate,dessicate
toys,toy
attendant,attendent
want_to,wanna
conventional,convential*2
probabilities,probibilities
up_cast,upcast
phials,fiels
propellers,propellors
excuse,exuse
So,Show
factories,factorys
producing,prodi
grill,grille
pigs',pigs
nine,nin
spontaneous,spontanous
self-conscious,self-concious
boycott,boygot
phrase,fraze
foreseen,forseen
individualistic,idividualistic
unearthly,unerthly
venomous,venemous
sneak,sneek
tries,trys
inconceivable,inconcievable
Garden,Gardon
documentation,documtations
dread,dred
reservoir,resevoir
noughts,nought
reminiscences,remeniscences
buffaloes,buffalos
solving,soli
relate,recate
motivated,motiviated
Victorian,vitiorian
moaning,moning
you've,you
foot,fot
irrationality,irrationallity
enlarged,enlargd
New_Yorker,Newyorker
capability,caperbility
Gael,gae
miniaturized,minaturised
bickering,bickere
event,avent
juniors,juniour
presumptuous,presumptous
jolly,joly
fountain,fountian
issue,isue
gardener,gardner
primaeval,primeaval
bald,bould
ponderous,pondorous
reason,reson
earliest,earlyest
revolutionary,revolutionar
unresolved,unresloved
persuading,pususading
terribly,terrible
liaison,liason*2
expecting,exspecting
exponentially,exponentualy
daisy,dasy
picnicking,picnicing
transcendence,transcendance
liquefied,liquified
maple,mapel
perturbation,pertubation
obedience,obediance
airborne,airbourne
broccoli,brocolli
pinned,pined
mosaic,mosaik
storm,strom
cartridges,cartriges
grocery,grosery
grew,grow
kindly,kinly
squeaks,squeeks
tea-maker,tea_maker
obfuscate,obsfuscate
sentenced,senteced
urgently,ungertly
Father,Farther*2
ecstatically,exstaticaly
lid,led
cave,kave
officers,offercers
swallowing,swalloing
labour,laber
lip,lep
useless,usless
aggravating,agravating
Puccini,Pucini
towards,towords
quote,quot
promiscuous,promiscous
eaten,eatten
comparisons,compariosns
salary,salery*2
popularity,popularaty
part-time,part_time
cheerio,cheeroh
booze,bouse
Babies,Babys
reminiscent,reminescent
justice,justise
flesh,fleash
versatility,versility
reap,reper
meanwhile,meanwile
While,Will
pretending,be_trending
competing,compeating
combinations,combination
imitating,immitating*2
adhering,adhearing
retaliation,retalitation
perfume,purfume
seventeen,seventen
throwing,throws
France,Fance
culture,cut
close,clos
grocer,grouser
mussels,muscels
cartographer,carthographer
ranked,rankd
invisible,invisable
archeologists,archeaologists
buzz,buss
experimental,ep
hairdressing,hair_dressing
battery,batery
badminton,badmington
damp,damp
style_guide,styleguide
collectible,collectable
partly,partley
wet,weat
modelling,modeling
Mayfield,Mayfeild
gale,gae
rope,rop
ought,out
guide,guid
pack,pake
instead_of,insteadof
embroidered,embroiderd
hoax,houx
rulers,rules
clerical,clearical
composition,compostion
classmates,class_mates
dime,dim
bonus,bonas
pomegranate,pomegranite
fulfilment,fulfillment
cleaning,clening
ceremonious,cerimonious
herewith,hearwith
older,oldr
flirts,firts
grind,grined
some_time,sometime
beginnings,begginings
cedar,ceder
appalled,appaled
technicians,techicians
quarters,quators
retirement,retirment
canisters,cannisters
questioned,question
debatable,debateable
remaining,remained
sandwiches,sadmages
unravelled,unwravelled
soliloquy,soliliquy
march,mach
tiring,tiering
signal,singal
popular,populer
parade,prade
brakes,breaks
Guinness,Guiness
for_the,fort
mucous,mucuous
lifelike,life-like
exceeding,exeeding
pounding,ponding
civilization,civilazation
break-times,breaktimes
rub,rob
schooldays,school_days
troops,troups
shine,shin
experiences,experances
caretaker,cartaker
within,withing*2
dissatisfaction,disatisfaction
presupposes,presuposes
renewal,renual
besieged,beseiged
heritage,inheritage
rummage,rumage
collapsed,collasped
frost,forst
bolsters,boulsters
Tommy,Tomy
inclose,enclose
fishy,fishey
Switzerland,Swizaland
crapped,crept
ceremonies,cerimonies
Irish,Iresh
skull,scull
denigrating,denegrating
foresight,forsight
politic,politict
heterogeneous,heterogenous
ordered,orderd
accessibility,accessability
metals,metet
cotton,cotten
objection,abjection
prerogative,perogative*2
forerunner,forunner
nap,map
spectators,spectatoes
drag,drage
graphically,graphicaly
councillors,councellors
dram,deram
neighbouring,neigbouring
unconnect,unconect
ignorant,ignorent
requires,requres
kilometre,lilometer
proposition,propostion
salaries,salarys
barbecue,barbeque
ammonia,amonia
illegible,illegable
gases,gasses
anointed,annointed
nose,nocth
wavy,wavey*2
telling,teling
nourishing,norishing
jump,junp
noise,nose*4
notwithstanding,nothwithstanding
waitress,waiteriest
plays,playes
espresso,expresso
exacerbate,exerbate
Boys,Boy*3
imitator,immitator
schoolboys,school_boy
conceited,conseated
lorries,lorry's
stubbornness,stubborness*2
repel,repell
products,produts
vilify,villify*2
examining,examinin
foresee,forsee*2
addresses,adresses
danger,dager
manage,mange
addressed,adressed
anomalies,anomolies*2
singing,sining
penalty,penatly
camera,camara
cheeky,cheaky
agreeable,agreable
simpler,simplier
shut_up,shock
popped,poped
unilaterally,unilatreally
becomes,become
appointed,apointed
starter,strater
mythical,mithical
announcing,anouncing
averaged,averageed
recession,recetion
irreparable,irrepairable
Nevada,nevade
boasting,bosting
filament,filiament
fare,fair
British,Brittish
fatigue,fategue
engineering,engeneering
feels,fiels
favourites,favorites
software,sofware
basement,basment
offences,offenses
costume,costome
brittle,bittle
broom,brom
notebooks,note_books
brook,brock
imbalance,inbalance
surrounds,surounds
Two,Tow
church-operated,church_operated
subtraction,substraction
documented,doccumented
impresario,impressario
adjournment,adjurnment
Celsius,Celcius
globe,glob
inverted,invertd
aggravated,agravated
seesaw,sea_swa
turnkey,turnk
measure,mesure
separating,seperating*2
disappointedly,dissapointedly
critics,criticists
trashy,tashie
withdrawal,withdrawl
interplanetary,interplanetry
attending,atending
corrosion,corosion
determining,determinining
route,rout
diminished,dminished
knickers,kicknes
protagonists,protaganists
benediction,bendecition
mankind,manknd
succeeds,suceeds
pitied,pityed
powerful,powerfull*2
unsupported,unsuported
improving,improoving
bitch,bich
tarmacked,tarmaced
quality,quailty
practitioners,practicioners
attach,attache
ankle,ankel
perfectly,perfactly
prone,prove
disagreeable,disagreable
lists,lsits
manufactories,manufacturies
manipulation,maniputaltation
photograph,photagraph
Saturdays,Saterdays
distinguishes,distingishes
bee,be
claim,clame
succinctly,sucinctly
referral,referal
serfdom,surfdom
exhibit,exibit
enforced,in
interrogating,interogationg
tennis_player,tennisplayer
jumble-sale,jumble_sale
truck,truk
pursues,persues
pursuer,persuer
vengeance,vengance*2
connected,conected
awe,ore
subtracted,substracted
upset,up_set
art_room,art-room
impression,inprestion
anyway,enyway
partners,parteners
envy,envey
based,basen
unfinished,unfinised
tire,tier
versatile,versitile
employed,emploied
dodge,doge
Yard,Ysid
seizing,siezing
overall,overal
unacceptable,unaceptable
abundance,abundence
legitimate,legitamate
sassy,sasy
procedures,proceedures
endless,end_less
gray,grae
evident,evedent
shy,shiy
somebody's,somebodies
contain,contane
Austrian,Austrain
grab,grabe
preach,prech
spotted,spoted
shake,shack
orphan,ophan
reinforce,reinfore
computer,comupter
maneuverable,manouverable
state,stat
monitresses,monitrouses
kidneys,kidney
tent,tant
comparable,comporable
sole,soul
kicking,kiging
merry,marry
distribution,distibution
interpretations,interper
disobeyed,disabayed
admit,admite
all_sorts,alsorts
nest-boxes,nest_boxes
conspired,conpired
reevaluated,revaluated
cent,sent
treat,treet
controlled,controled*2
well-paid,well_paid
guerrillas,guerrilas
quotation,quotion
And,Ane
Tom's,Toms*2
chalk,chork
owns,ownes
Catiline,Cataline
examined,examend
capture,capure
parts,pars
speaker,speacker
eclectic,electic
partial_eclipse,part-eclipse
unconventional,unconvential
fireman,firemen
appearances,appearences
sarcastic,sorcastic
pull,pall
compendium,conpendium
intercede,intersede
insurmountable,insum
battle-axe,battle_axe
dressed,drest
stirrups,stirups
warlord,warloord
spherical,sperical
reside,recide
increasingly,increasinly
accurate,acurate
dose,does
Sunday,Sanday
advertised,advotised
coordination,coordiantion
restaurateur,restauranteur
aerial,aeriel
aficionados,afficionados
cumulative,cumulatative
kick,kike
sonic,soonec
prefabs,pre-fabs
burden,birden
propeller,propellor*2
loss,lose
renegade,renagade
candy,cand
rota,rote
page,pag
climbers,glimers
phenomena,phenonmena
tempered,temped
connectives,connectivies
kettle,kettel
inflammation,inflamation
oppression,opression
octogenarian,octagenarian
medieval,medeival
reaching,reching
expansion,expanion
paper,papr
April,Apirl*3
freedom,feedom
persuades,pursuades
recognized,reconnised
nightclub,night_club
utility,utillty
impatience,impatiene
noticed,notest
north,noth*2
mucked,muked
triangular,triangulaur
neutral,nutral
hierarchical,hierachial
gain,gane
technician,techician
converter,convertor
limit,limet
authority,athority
functions,functuions
contest,conest
additionally,additinally
jack-knife,jacknife
appoint,apoint
persistent,persistant
indirectly,inderctly
secondly,secondy
pardon,parden
temperament,temperment*2
straws,strawes
minuscule,miniscule*2
swam,smim
segments,segements
Honda,Hondor*4
disability,dissability
presents,present
swap,swop
teaching,teching
sorry,sory
downstream,donstream
affect,effect
vast,vaste
baking,bakeing
crops,cropes
companies,companys*2
frozen,frosen
vector,vectore
sexton,sixty_one
enhance,enhence
favoured,faverd
quilt,cwilt
japanese,japaneze
likely,likly*2
colourful,colourfull
pragmatism,pragmaticism
met,mat
nanny,nana
active,acttive
piercing,piecing
credit,creadit
superstitious,supersticious
handwork,hand_work
county,conty
ninety,ninty*3
landscape,lanscape
calm,carm
supporters,suppoters
wary,weary
loony,lonny
warm,worm
adult,addult
ward,whard
pivoting,pivting
room,roon*2
Tim,tiem
gasoline,gasaline
exploitative,exploititive
squirting,squrting
laughs,laughes
surveyor,surveyer
elicited,elicided
trouble-maker,trouble_maker
aboard,abroard
replacing,replaci
abuts,abutts
summary,sumary
run_away,runaway
prowls,prouls
schoolchildren,school_children
president,presedent
phial,fiel
ambivalent,ambivilant
purchase,perchase
guerilla,guerrila
substructures,subsructures
idiosyncrasy,idiocyncracy
fungi,funguses
capitalism,capa
frequent,freequent
inhabitant,habitant
operate,opperate
exhorted,exorted
operations,operatins
toads,roads
ghastly,gastly
post_office,postoffice
copyright,copywrite
fun-loving,fun_loving
polygamy,poligamy
blackened,blackend
weeks,week*2
confidently,cond
vigorous,vigourous*2
combination,combanation
girlfriend's,girl_friend
caterpillar,catterpilar
well-educated,well_educated
indulge,indulgue
eyas,eyars
leaner,leanr
grammar,grammer*3
meat,meet
arrested,erested
roast,rost
loneliness,lonelyness*2
bond,bound
interruption,interuption
navy,navey
clauses,causes
velvet,velvit
revolting,revoulting
reader,reder
dress-rehearsals,dress_rehearsals
rehearsed,rehersed
whiff,wift
deceived,decieved
revenge,reveng
proportionality,proportionallity
mistress,misstress
boarders,borders
user,uers
playwright,playwrite*3
hoop,hop
disappearing,dissapearing
Commentary,Comentary
acquaint,aquaint
Monkeys,Munces
wander,wonder
push-bicycle,pusbycile
somewhat,somwhat
agriculturist,agriculturalist
begins,begines
distance,distants
desiccated,dessicated
spoiled,spoled
wielded,weilded
sees,see
rattle,ratle
obviously,obviosly
seek,seak
expeditions,expiditions
Albert,Ab
divulge,devulge
chest,cheast
niece,neice*3
monkey-puzzle,monkey_puzzle
phonograph,phongraph
mashed,mash
impurities,impurite
translator,translater
iterate,interate
Jacques,Jaques
observation,observeation
Philippine,Phillipine
urgency,urgu
nice-looking,nice_looking
discontent,discontentment
my_way,may
sows,sow
visitor,vistor
retire,retier
attempts,attemts
supplied,suplied
sneaking,sneking*3
cripple,criple
inventor,inventer
tidied,tiyeded
bad,bed
ears,ers
decides,descides
imitate,immitate
interruptions,interuptions
voyage,voage
summaries,sumarys
embroidery,embrodery
simplest,simlest
lazy,lasy
ignorance,ignorence
weary,wery
beautician,beutician
picking,piking
resistant,resistent
uncertainty,uncertainity
prefabricated,prefabrecated
contribution,conibation
presumably,presumibly
hygiene,hygeine*2
springs,spring
accustom,acustom*2
proceeded,proceded*2
puts,pos
basis,bases
erect,ereck
detrimental,detremental
formalized,formallized
quantities,quanties
dismiss,dismess
decrepit,decrepid
tapping,tappin
Stuart,Sturt
aviation,avation
censored,censorsored
guarantees,guarentees
able-bodied,able_bodied
spontaneously,spontaneos
spawn,sporn*2
metropolitan,metropolitian
cant,cant
mouse,moues
Hong_Kong,Honk_Kong
bottles,battels
specialization,sececialization
parish,poshurst
waterworks,water_works
potentially,potentialy
colonies,collonies
evolve,evolved
delight,delite
supposing,suposing
programs,progroms
practices,prat
qualities,quaties
claims,claimes
consciousness,conciousness*2
sentence,sentance
serviette,serviet
Blitzkrieg,Blitzkreig
facts,fas
infinitely,infinitly
assassination,assasination
Boss,Bos
wretch,wrech
save,safe*2
scatty,scanty
paper_boats,paperboats
background,back_ground
dreams,dreasm
manual,manuel
somehow,some_how
dead,ded
metallurgic,metalurgic
tripped,trip
separately,seperately*2
dense,dence*2
theatre,theather*2
carts,cartes
fountain-pens,fountain_pens
prayer-book,prayerbook
protagonist,protaganist
keeper,kepper
flourished,florished
vaginas,virginas
flourishes,fluorishes
Maltese,maltesian
craftsman,craftman
commit,comit
marshal,marshall
automatically,autoamlly
anointing,annointing
formerly,formally
lieu,liew
stump,stomp
jealousy,jelousy
let-down,let_down
deckchair,deck_chair
starve,stave
undergrowth,undergroth
January,Januery
analyse,analiss
surrender,surender
fort,fought
pavilion,pavillion
bounds,bound
whiskey,wiskey*3
horrifying,horrifiring
unenlightened,unenlightend
semicolon,semi-colon
Franciscan,Fransiscan
sale,sail
fashioned,fashion
awhile,awile
authoritative,authorative
mediaeval,medeival
model-making,model_making
house_point,housepoint
felt,falt
daily,daly*2
jacket,jaket
profits,proffits
managed,manged
ex-policewoman,ex-police_woman
woodwork,wood_work
relieve,releive*2
mile,mill
skin,scin
abundant,abundent
targeted,targetted
retention,retentiaon
technique,tecnique
micrometers,me
appendicitis,appendicitus
shoot,shot*2
string,sting
permissive,permmasivie
advised,adviced*2
governments,goverments
dim,dime
accidentally,accidently*3
item,tiem
excellence,excelence
dealing,deling
pregnancies,pregancies
villi,villin
threshold,threshhold
eating,eting
genitalia,genialia
favour,faver*2
tunnel_like,tunnellike
proclaiming,proclaming
appetites,appatites
decipher,decypher
box,bax
exemplified,exemplyfied
institute,instute
odour,oder
suggestion,sugestion
raccoon,reccona
genuinely,genuinly
elect,ellect
flexibility,felxibility
licensing,licencing
sake,sack
uncritical,uncritiacl
labyrinth,labrynth
rigid,riged
archaeologists,archeaologists
androgynous,androgenous
soul,sole
entrepreneurs,entrepeneurs
growing,groing
arrive,arive
crazy,crasy*2
agent,agant
sample,sampel
drawer,draw
beverley,beverly*3
stick-insects,stickin-sects
necklaces,necklesses
pine,pin
pure,pur
revolutionized,revolutionised
persuasion,persausion
pathway,parth_way
map,mape
staying,staing
destructive,distructive*2
fantasia,phantasia
tale,tail
Welsh,Wesh
switch,swich
deposit,deposite
tall,toll
wishing,wiching
group,groupe
satyr,sotyr
maid,made
Guatemala,Guatamala
clean-smelling,clean_smelling
primitives,primatives
titillate,titalate
leopards,lepers
developments,develepment
truthful,truthfull
enlargements,enlargments
peasant,peasent
careless,carless
pernickety,pernicety
tobogganing,tobboganing
stitch,stich
registries,regsirties
asymptote,asentote
brooks,brookes
spies,spys
screaming,skreeming
cough,caugh
underwear,underware
ministry,ministery
listings,listsings
carry,cary
sounds,soudns
extrovert,extrevert
moisture,mosture
rebuttal,rebutal
exoskeleton,exoskelaton
loneliest,lonlest
accurately,accruately
broadcast,bradcast
Luke's,Luks
singsong,singsog
infiltrate,infilitrate
dukedom,dukeship
goddesses,godesses
sailing,saling
sick-room,sick_room
knives,kinfe
venture,vanture
tractor,trator
villein,villin
nuisances,nusuces
speakers,spaekers
consortium,consorcium
squad,sqird
good_humouredly,good-humourdly
haste,hast
Dr,Doc
pail,pale
decreasing,decresing
rehearsal,rehersal
coveted,coverted
preventive,preventative
participle,participal
stockings,stokings
shop,shap*2
veranda,meranda
Tonner,Toner
shoe,shou
Stephen,Steffen
label,lable
curled,cerled
storms,stormes
bossy,bosy
analytic,analitic
black,blak
treasury,treasurey
twenty_one,twentone
exaggeration,exageration
sackfuls,sackfulls
pharaohs,pharoahs
nouveau,noveau
intuitive,intutive
colossus,collosus
yield,yeild*2
worrying,worring
kernel,kernal
caller,cauler
relative,relitive
eliminating,eleminating
seal,seel
calendar,calender*2
slimmer,slimer
forecast,forcast
father's,farther's
pump,pomp
be_frightened,frignd
crucified,crusifed
tacit,tasit
cervical,cervial
according,acording*2
among,amoung*2
forecasting,forcasting
possessive,possesive
stretched,streched
unusual,unusal
childbirth,childbird
Valletta,Valetta
capable,capeable
encryption,encryptiion
dependable,dependeble
wobbly,wobberly
constituencies,consituencies
sensibly,senseably
shopping,shoping
unturned,unterned
wake,waek
declaration,decloration
encapsulation,encapsualtion
odyssey,oddysey
ignition,igntion
bathe,bath
characteristics,charistics
sincere,sincer
Jones's,Joneses
Factory,Facttoer
baths,bath
effluence,effulence
protein,protem
jackdaw,jack_daw
everyday,every_day
ill-behaved,illbehaved
pat,pate
heartbreak,hertbreake
semesters,semisters
stepped,steped
straitjacket,straightjacket*2
pan,pen
assist,asist
annulled,annuled
nonprofessional,nonproffessional
totally,totaly
drain,drian
largely,largly
amounts,ammounts
solve,slove
consisted,consist
alfalfa,alphalpha
outdoor,out-door
leeway,leaway
aspect,aspeat
illegitimacy,illegimacy
asthma,athsma
pile,pill
grip,gripe
admitting,admiting
railroad,railrode
acquainted,aquainted*2
indisputable,indisputible
Troy,Toy
served,surved
robbers,robberys
doll,dall
commandeer,comander
dole,dol
sneaked,snuck
gramophone,grammophon
extinct,extint
accomplice,acomplice
gross,grose
lunar,lunur
linoleum,linolium
supplanted,surplanted*2
manufactured,manufatured
notably,noteably
despicable,dispicable
Goodbye,Good_by
refers,referrs
roar,raw
island,iland
generated,generataed
brainier,brianer
imitated,immitated
whites,wittes
abattoir,abbatoir
well_illustrated,well-illustrated
references,refernces
millipede,millepede
caterpillars,catterpilars
Characters,Chartors
hysterical,hystrical
buggy,bugy
flamboyant,flamboueant
strawberry,strawbery
conqueror,conquerer
embed,imbed
affection,afection
foundry,foundary
deer,dear
examine,examin
girlfriend,girl_friend
film,flim
assessing,accesing
drivers,divers
sneeze,snese
resembled,ressembled
nutrient,nutritent
forbidden,forbiden
bravest,bravist
invariably,invarably
reluctant,relectant
prefixed,prefixt
inexhaustible,inehaustible
prefixes,prefices
preserved,perserved
tranquillity,tranquility
pickpocketing,pick_poketin
enjoying,injoying
parcel,parsel
sitting,siting*3
iconoclastic,iconclastic
scout,skout
washing,waching
mothers,mouthers
applicable,aplicable
preposterous,proposterous
titles,tittles
lawyer,lawer
dial,dael
defence,defense*2
stood,stod
illogical,ilogical
carcass,carcas
movement,movment
component,componant
favourably,favorably
disastrous,disasterous*2
operating,opperating
lunch-hour,lunchhour
eleven-plus,eleven_plus
enmity,emnity
airport,airpot
published,puplished
emptied,emptyed
gristly,grisly
establish,astablish
metallurgy,metalurgy
distinct,destinct
wiped,wippd
achieving,acheiving
sylph,slyph
American,Ameracan
controlling,controling
nineteen,ninteen
none,non
hour,our
strain,stran
specializes,specialisises
den,dener
superstitions,supperstishons
pioneered,pinoneered
specialized,speciallized
Hitler,Hitlar
compare,compair
sphere,spere
teddy_boys,teddyboys*2
needs,neads
drained,draned
receptacle,receptacel
acts,acks
hammarskjold,hammerskjold
bleat,blait
questioning,question_ing
entry,netry
spiteful,spitefull
cemeteries,cemetaries
infant,enfant
dough,doe
suffer,sufer
messed,mest
arteries,arery
microscopic,mircroscopic
researches,reas
speech,speach*2
noticing,noticeing
tinned,tin
compound,compond
complain,complane
pollinator,polinator
spy,spiy
right-hand,right_hand
boisterous,boystrust
forthright,fortright
harm,ham
delicious,delicous
connect,conect
surly,surley
seniority,seneority
orient,orientate
ides,idesa
flower,flour
acting,actting
print,prent
evaluation,evaualtion
circumstance,curcumstance
senor,senour
imperial,empirial
members,menbers
eventuality,eventuallity
omit,omite
wither,whither
copper,coper
valentine,valintine
utilized,utalised
elevator,elavator
cups,cup
bullied,bulyed
divorce,devorce
least,lest
paint,pant
park,parck
excels,excells
draped,drapped
dentist,dentest
part,pard
drunkenness,drunkeness*2
doctors,docters
culminating,culiminating
supposes,suposes
gotten,gotton
mortgaged,mortgauged
kapok,kapock
toe,tow
declare,declair
reparation,repairation
download,doenload
cistern,sistern
orders,oders
mountain,mountian
rowed,rowd
eggs,egges
branching,braching
giggling,gigling
dimension,dimention
cramped,crampt
mammoth,mamoth
weigh,wiegh
organism,organim
thomas,thomes
sparrow,sporrow
fins,finse
businesses,busineses
hopped,hop
networks,netowrks
month's,month
giant,gaint
breast,brest
autobiographic,authobiographic
silk,silke
merchandise,merchandize
pogroms,progroms
sclera,clera
armature,amature
archaeologist,archeaologist
woollens,woolens
cynical,synical
vine,vin
surrendered,surrended
changeable,changable
visiting,visting*2
superseded,superceded
halves,halfs
interrelated,interelated
myriad,myraid
consonants,consonents
complementary,complemantary
aircraft,aercraft
full-time,full_time
mean,meen
point,pont
godforsaken,god_forsaken
trilogy,triology
creativity,creatitivity
volley,volye
faithfully,faiyhfully
dropping,droping
gay,jay*2
dissension,desention
pierce,peirce
solid,soled
tape-recorder,tape_recorder
presbytery,presberitory
rigour,rigeur
standardizing,stanerdizing
impracticable,impractible
cents,cens
Prison,Prisern
butcher,bucher
lenient,leniant
undecidable,undecideable
keys,kees
parliamentarian,paliamentarian
aggregate,agregate
timid,timed
Zionists,Sionists
task,tasked
supersede,supercede*3
spent,spend
withdraw,withdrawl
preference,preferance
wig,weg
predominantly,predominently
letting,leting
superficial,superfical
cut,cat
Doctor,Docter
deliberately,deliberatly
administrative,adminstrative
excited,exited
hates,hate
bid,bed
cognitive,cogntive
follows,followes
moccasins,mocassins
foolish,folish
obliged,oblidged
impeach,inpeach
strongest,stornegst
accelerate,acellerate
mirror,mirrow
candle,candel
contacts,contancts
pet,pat
per,pere
pen,pan
class's,classes
be_coming,became
windowpanes,window_panes
continuing,continueing
restrictive,restictive
loud-mouth,loud_mouth
tripping,triping
goods,goodes
beans,bean
guerillas,guerrilas
daisies,daises
pollution,polution*2
tentacles,tenacles
handbook,hanbook
opponent,oponent
imprisonment,inprisonment
invite,invit
hoped,hopped
quiescent,quiscent
verruca,varooka
TV,tv
expedition,expidition
pseudonymous,pseudononymous
scarlet,scarlit
cure,qure
cafe,kiffe
denying,denyin
brethren,bretheren
priory,piorly
commonest,commenest
Israelis,Israelies
assassinate,assasinate*2
explaining,explaning
lend,leand
aggregates,agregates
papa,papy
restoration,restauration
desert,dessert
implies,imple
cooked,cookt
ascertained,acsertained
Scots,Scotts
ready-made,ready_made
tube,tub
groceries,grocerys
disintegration,desintegration
Someone,Some_one
embellishing,embelishing
peanut,penut
Lucky,Luckily
helps,hell
masculine,masculin
enlightenment,enligtment
inject,injeck
rhyme,rhymme
putting,puting*2
trouble-causer,trouble_causer
guanine,gunanine
arrange,arange
entire,intire
Lone,Long
crop,crope
depression,depreshtion
reconciliation,reconcilation
giving,giveing
worshipping,worshiping
access,acess
justification,justifacation
exchange,excange
nonexistent,non-existant
packing,paking
preamble,preample
irritating,irritaty
extreme,extream
remark,remarke
talent,talant
resurrect,resurect
existent,existant
composed,compossed
blizzard,blizard
limp,linp
Brazilian,Brasillian
lime,line
asteroid,asteriod
structuralization,stu
emigration,imigration
prizes,prises
arranging,aranging
billed,build
harvest,havest
subscription,subscribtion
account,acount
transmissible,transmissable
tunnel,tunel
exhilaration,exhileration
tag,tage
praise,prais
internecine,intercine
closing,closeing
reserved,rerved
bestiality,beastiality
effectively,effectivly
ascension,accension
hangar,hanger
daring,dearing
lame,lane
timetables,time_tables
fete,fate
furnace,furnice
stock,stark
autobiography,authobiography
novelists,novellists
incompetence,incompetance
scalable,scaleable
by_by,byby
bluff,bluf
cuddling,cuddly
poacher,pocher
colonnade,collonade
wedding,weding
repentant,repentent
horns,horn
flattering,flatterring
nasty,narsty
winning,wining
criminal,crimamel
yeoman,yoman
dad,bad*2
cutting,cuting
kindness,kind_ness
february,febuary
airports,airporta
warned,wornd
radiant,radient
identified,indentified
octahedral,octohedral
constraints,constaints
programmes,programes*2
mats,mates
announcer,announser
mate,mat
messenger,messanger
barley,barly
red,rad
Sheba,shebre
fluctuates,fluctuations
stenographer,stenografer
frank,franck
approaches,approachs
matchboxes,match_boxes
X-rays,exrays
likelihood,likelyhood*2
cured,curred
recipes,recipies
yarn,yorn
chicken,chiken
mortal,mortle
retain,retane
retail,retale
strategic,startegic
vagina,agina
every_day,everyday
acquiescence,acquiesence
programmable,programable
chaser,chasr
nut,not
gear,gere
seeing_as,seeings
explanation,explaination
nobody,nobudy
negro,negrow
blazers,blasers
hen,han
bodyguard,body_gaurd
Eastwood,Estwood
imaginative,imaginitive
recommends,recomends
countryman,countriman
precipice,presipice
Nicholls,Nickals
procure,proqure
prisoner,prisner
payment,pament
de_rigueur,de_rigeur
request,requst
disease,desease
rendezvous,rendevous
skinny,skiny
normally,normaly
kite,kit
text,texed
supported,suppore
incorruptible,incorruptable
hydroelectric,hydrolectric
vacillate,vaccilate
ambiguity,amibuity
fatiguing,fatiging
oppressor,oppresser
inferior,inferier
discovers,dicovers
delirious,dilirious
photography,photograph
beam,beame
bead,beed
madam,madame
daffodils,daffodill
asks,ask
attempting,attemting
routine,rouint
filthiness,filthness
linguistics,libguistics
than_or,thanot
climatologists,climatoligists
joke,jock
assure,asure
attributes,atributes
passing,pasing
guerrilla,guerrila
glorious,glourious
otherwise,other_wise*3
Holiday,Holliday
playwrights,playwrites
muddy,mudy
copies,copys
primordial,primordal
absorbent,absorbant
anomaly,anomoly
define,deffine
chauffeurs,chauffers
censor,censur
essentially,esentially
finished,finshed
tense,tens
bull,bool
divisions,divisons
bye,buy
nasty-tempered,nasty_tempered
value,vaule
handwriting,hand_righting
frustrating,frustartaion
pheromone,feromone
planets,plant
manually,manualy
walks,walk
partner,partener
portray,protray
blue-covered,blue_covered
progressing,progreing
